,rating
0,3
1,3
2,3
3,5
4,2
5,3
6,3
7,4
8,1
9,2
10,3
11,5
12,5
13,5
14,4
15,1
16,4
17,2
18,4
19,4
20,1
21,4
22,4
23,3
24,2
25,3
26,5
27,5
28,5
29,4
30,4
31,2
32,4
33,1
34,5
35,2
36,4
37,1
38,4
39,2
40,3
41,4
42,3
43,3
44,5
45,3
46,5
47,4
48,4
49,3
50,1
51,1
52,4
53,1
54,5
55,4
56,4
57,2
58,1
59,3
60,4
61,3
62,1
63,1
64,3
65,4
66,5
67,4
68,3
69,4
70,4
71,5
72,3
73,5
74,1
75,3
76,4
77,4
78,5
79,3
80,1
81,5
82,1
83,3
84,3
85,2
86,3
87,4
88,1
89,2
90,1
91,1
92,5
93,4
94,2
95,3
96,4
97,4
98,1
99,4
100,1
101,3
102,3
103,4
104,4
105,5
106,4
107,2
108,3
109,4
110,2
111,2
112,4
113,2
114,3
115,3
116,4
117,3
118,1
119,4
120,1
121,4
122,3
123,4
124,4
125,3
126,4
127,3
128,3
129,3
130,1
131,3
132,5
133,2
134,4
135,1
136,4
137,4
138,4
139,3
140,2
141,5
142,3
143,3
144,3
145,4
146,3
147,4
148,4
149,3
150,5
151,5
152,1
153,2
154,3
155,3
156,4
157,3
158,1
159,4
160,4
161,3
162,5
163,2
164,4
165,1
166,3
167,4
168,5
169,4
170,1
171,3
172,4
173,4
174,3
175,3
176,4
177,3
178,2
179,5
180,4
181,2
182,5
183,2
184,1
185,2
186,1
187,5
188,4
189,4
190,3
191,4
192,4
193,5
194,2
195,3
196,4
197,3
198,3
199,5
200,4
201,1
202,1
203,4
204,3
205,1
206,4
207,4
208,3
209,5
210,1
211,5
212,2
213,4
214,1
215,3
216,1
217,4
218,3
219,3
220,4
221,4
222,2
223,3
224,1
225,5
226,4
227,3
228,5
229,4
230,3
231,3
232,4
233,5
234,3
235,5
236,4
237,4
238,1
239,4
240,3
241,2
242,5
243,1
244,3
245,4
246,1
247,5
248,4
249,3
250,5
251,1
252,1
253,1
254,4
255,5
256,5
257,5
258,3
259,3
260,3
261,4
262,3
263,3
264,3
265,5
266,3
267,4
268,3
269,4
270,3
271,4
272,3
273,4
274,4
275,1
276,2
277,3
278,4
279,1
280,4
281,1
282,5
283,3
284,2
285,3
286,1
287,5
288,4
289,3
290,4
291,4
292,3
293,5
294,4
295,5
296,5
297,3
298,5
299,4
300,2
301,4
302,4
303,4
304,3
305,4
306,4
307,2
308,1
309,5
310,5
311,3
312,5
313,4
314,2
315,5
316,5
317,5
318,3
319,1
320,4
321,3
322,4
323,2
324,4
325,5
326,1
327,5
328,5
329,2
330,2
331,5
332,5
333,4
334,4
335,3
336,5
337,4
338,2
339,3
340,2
341,2
342,1
343,4
344,2
345,2
346,2
347,4
348,2
349,4
350,3
351,3
352,4
353,5
354,4
355,4
356,4
357,3
358,2
359,1
360,4
361,5
362,5
363,3
364,3
365,5
366,5
367,3
368,4
369,2
370,5
371,2
372,4
373,1
374,1
375,2
376,5
377,4
378,5
379,3
380,3
381,1
382,5
383,1
384,2
385,5
386,5
387,3
388,5
389,5
390,1
391,4
392,5
393,4
394,5
395,4
396,4
397,5
398,5
399,3
400,5
401,3
402,3
403,3
404,2
405,2
406,5
407,4
408,5
409,3
410,5
411,3
412,4
413,2
414,4
415,5
416,3
417,5
418,2
419,2
420,4
421,4
422,5
423,5
424,2
425,4
426,1
427,1
428,3
429,1
430,4
431,1
432,1
433,5
434,2
435,2
436,1
437,3
438,4
439,5
440,1
441,5
442,3
443,1
444,3
445,5
446,1
447,2
448,5
449,3
450,3
451,3
452,5
453,3
454,5
455,3
456,4
457,2
458,3
459,2
460,5
461,4
462,4
463,5
464,1
465,4
466,5
467,1
468,1
469,3
470,5
471,4
472,4
473,5
474,3
475,4
476,4
477,2
478,4
479,1
480,3
481,4
482,1
483,2
484,1
485,3
486,3
487,1
488,5
489,5
490,3
491,2
492,3
493,2
494,3
495,5
496,4
497,3
498,4
499,1
500,4
501,4
502,2
503,4
504,5
505,2
506,3
507,4
508,3
509,3
510,4
511,5
512,4
513,3
514,3
515,4
516,4
517,3
518,5
519,3
520,2
521,5
522,4
523,3
524,1
525,1
526,1
527,3
528,4
529,4
530,3
531,2
532,3
533,3
534,3
535,3
536,4
537,5
538,3
539,3
540,2
541,1
542,3
543,3
544,3
545,3
546,4
547,4
548,5
549,3
550,4
551,1
552,1
553,4
554,1
555,1
556,1
557,1
558,3
559,5
560,2
561,4
562,5
563,4
564,1
565,4
566,4
567,5
568,4
569,4
570,3
571,2
572,1
573,4
574,5
575,3
576,2
577,3
578,3
579,4
580,5
581,5
582,4
583,1
584,3
585,1
586,4
587,3
588,5
589,3
590,3
591,4
592,4
593,3
594,1
595,4
596,3
597,1
598,2
599,5
600,2
601,2
602,2
603,3
604,5
605,3
606,5
607,4
608,3
609,2
610,1
611,1
612,1
613,1
614,1
615,4
616,4
617,3
618,4
619,1
620,4
621,2
622,4
623,1
624,4
625,4
626,2
627,1
628,3
629,2
630,1
631,1
632,3
633,4
634,2
635,5
636,3
637,2
638,4
639,3
640,4
641,4
642,4
643,2
644,2
645,5
646,2
647,4
648,4
649,2
650,4
651,2
652,4
653,4
654,2
655,4
656,4
657,5
658,3
659,3
660,3
661,5
662,4
663,5
664,5
665,3
666,2
667,5
668,3
669,4
670,5
671,5
672,2
673,5
674,1
675,3
676,1
677,3
678,1
679,3
680,2
681,5
682,5
683,4
684,4
685,5
686,3
687,4
688,4
689,1
690,4
691,3
692,3
693,3
694,2
695,5
696,4
697,4
698,2
699,5
700,4
701,3
702,4
703,4
704,4
705,1
706,4
707,1
708,2
709,4
710,4
711,4
712,3
713,2
714,2
715,4
716,4
717,4
718,4
719,3
720,2
721,5
722,3
723,5
724,3
725,4
726,5
727,3
728,4
729,4
730,1
731,2
732,3
733,2
734,2
735,4
736,5
737,3
738,1
739,3
740,4
741,3
742,2
743,3
744,5
745,4
746,5
747,4
748,3
749,5
750,3
751,2
752,4
753,2
754,4
755,3
756,2
757,5
758,3
759,4
760,3
761,4
762,3
763,2
764,1
765,4
766,4
767,3
768,1
769,5
770,3
771,3
772,3
773,4
774,4
775,5
776,2
777,3
778,2
779,5
780,4
781,4
782,4
783,3
784,5
785,4
786,4
787,4
788,2
789,3
790,4
791,3
792,4
793,4
794,4
795,2
796,4
797,5
798,5
799,5
800,3
801,4
802,1
803,1
804,4
805,5
806,3
807,4
808,5
809,3
810,3
811,4
812,3
813,1
814,2
815,1
816,5
817,1
818,5
819,2
820,3
821,5
822,2
823,1
824,1
825,3
826,3
827,3
828,4
829,5
830,3
831,4
832,1
833,5
834,3
835,5
836,3
837,4
838,2
839,3
840,3
841,1
842,3
843,3
844,1
845,4
846,4
847,4
848,3
849,4
850,3
851,4
852,4
853,3
854,5
855,5
856,1
857,4
858,5
859,1
860,3
861,4
862,1
863,3
864,1
865,2
866,1
867,1
868,4
869,5
870,4
871,4
872,2
873,2
874,4
875,1
876,5
877,4
878,2
879,1
880,5
881,4
